datetime,temperature_2m,cloud_cover,shortwave_radiation
2023-03-22 00:00:00,5.5,100,0.0
2023-03-22 01:00:00,5.5,100,0.0
2023-03-22 02:00:00,5.5,100,0.0
2023-03-22 03:00:00,5.5,100,0.0
2023-03-22 04:00:00,5.7,100,0.0
2023-03-22 05:00:00,5.6,100,0.0
2023-03-22 06:00:00,5.4,100,0.0
2023-03-22 07:00:00,5.7,100,0.0
2023-03-22 08:00:00,5.7,100,7.0
2023-03-22 09:00:00,5.8,100,20.0
2023-03-22 10:00:00,6.0,100,59.0
2023-03-22 11:00:00,6.1,100,84.0
2023-03-22 12:00:00,6.0,100,110.0
2023-03-22 13:00:00,6.4,100,154.0
2023-03-22 14:00:00,6.2,100,76.0
2023-03-22 15:00:00,6.2,100,83.0
2023-03-22 16:00:00,6.3,100,43.0
2023-03-22 17:00:00,6.7,100,22.0
2023-03-22 18:00:00,6.7,100,17.0
2023-03-22 19:00:00,6.7,100,7.0
2023-03-22 20:00:00,6.8,73,1.0
2023-03-22 21:00:00,6.3,61,0.0
2023-03-22 22:00:00,6.0,75,0.0
2023-03-22 23:00:00,5.4,32,0.0
2023-03-23 00:00:00,5.0,59,0.0
2023-03-23 01:00:00,5.0,100,0.0
2023-03-23 02:00:00,4.6,87,0.0
2023-03-23 03:00:00,4.6,27,0.0
2023-03-23 04:00:00,5.0,100,0.0
2023-03-23 05:00:00,5.1,100,0.0
2023-03-23 06:00:00,5.3,100,0.0
2023-03-23 07:00:00,5.5,100,0.0
2023-03-23 08:00:00,5.6,100,11.0
2023-03-23 09:00:00,6.0,100,55.0
2023-03-23 10:00:00,6.2,100,109.0
2023-03-23 11:00:00,6.5,100,145.0
2023-03-23 12:00:00,7.1,100,231.0
2023-03-23 13:00:00,6.7,100,184.0
2023-03-23 14:00:00,6.2,100,140.0
2023-03-23 15:00:00,5.6,100,42.0
2023-03-23 16:00:00,6.9,100,88.0
2023-03-23 17:00:00,7.1,99,152.0
2023-03-23 18:00:00,7.3,33,163.0
2023-03-23 19:00:00,6.4,95,82.0
2023-03-23 20:00:00,5.9,98,5.0
2023-03-23 21:00:00,6.5,76,0.0
2023-03-23 22:00:00,6.2,100,0.0
2023-03-23 23:00:00,6.4,100,0.0
2023-03-24 00:00:00,6.3,100,0.0
2023-03-24 01:00:00,6.0,100,0.0
2023-03-24 02:00:00,5.8,100,0.0
2023-03-24 03:00:00,5.7,100,0.0
2023-03-24 04:00:00,5.6,100,0.0
2023-03-24 05:00:00,5.4,100,0.0
2023-03-24 06:00:00,5.4,100,0.0
2023-03-24 07:00:00,5.0,100,0.0
2023-03-24 08:00:00,5.1,100,6.0
2023-03-24 09:00:00,5.7,100,21.0
2023-03-24 10:00:00,6.1,100,27.0
2023-03-24 11:00:00,6.6,100,56.0
2023-03-24 12:00:00,6.6,100,65.0
2023-03-24 13:00:00,7.3,100,65.0
2023-03-24 14:00:00,7.7,100,94.0
2023-03-24 15:00:00,7.1,100,243.0
2023-03-24 16:00:00,6.7,100,278.0
2023-03-24 17:00:00,6.8,80,77.0
2023-03-24 18:00:00,6.9,66,139.0
2023-03-24 19:00:00,6.5,99,64.0
2023-03-24 20:00:00,6.2,99,4.0
2023-03-24 21:00:00,5.9,100,0.0
2023-03-24 22:00:00,5.9,100,0.0
2023-03-24 23:00:00,5.8,100,0.0
2023-03-25 00:00:00,5.8,100,0.0
2023-03-25 01:00:00,5.7,100,0.0
2023-03-25 02:00:00,5.7,100,0.0
2023-03-25 03:00:00,5.6,72,0.0
2023-03-25 04:00:00,5.4,77,0.0
2023-03-25 05:00:00,5.5,71,0.0
2023-03-25 06:00:00,5.5,89,0.0
2023-03-25 07:00:00,5.3,100,0.0
2023-03-25 08:00:00,5.3,100,15.0
2023-03-25 09:00:00,5.0,100,33.0
2023-03-25 10:00:00,6.0,100,127.0
2023-03-25 11:00:00,6.3,100,213.0
2023-03-25 12:00:00,6.0,100,188.0
2023-03-25 13:00:00,6.6,100,225.0
2023-03-25 14:00:00,6.3,61,318.0
2023-03-25 15:00:00,7.0,97,320.0
2023-03-25 16:00:00,6.6,100,229.0
2023-03-25 17:00:00,6.5,100,154.0
2023-03-25 18:00:00,6.0,100,67.0
2023-03-25 19:00:00,5.8,100,36.0
2023-03-25 20:00:00,5.2,100,4.0
2023-03-25 21:00:00,5.1,100,0.0
2023-03-25 22:00:00,4.4,100,0.0
2023-03-25 23:00:00,2.7,100,0.0
2023-03-26 00:00:00,2.2,100,0.0
2023-03-26 01:00:00,1.7,100,0.0
2023-03-26 02:00:00,1.6,100,0.0
2023-03-26 03:00:00,1.6,100,0.0
2023-03-26 04:00:00,1.4,100,0.0
2023-03-26 05:00:00,1.3,100,0.0
2023-03-26 06:00:00,1.0,100,0.0
2023-03-26 07:00:00,0.7,100,0.0
2023-03-26 08:00:00,0.3,100,7.0
2023-03-26 09:00:00,0.1,100,22.0
2023-03-26 10:00:00,0.0,100,44.0
2023-03-26 11:00:00,0.5,100,94.0
2023-03-26 12:00:00,0.7,100,129.0
2023-03-26 13:00:00,0.8,100,173.0
2023-03-26 14:00:00,0.8,100,192.0
2023-03-26 15:00:00,0.7,100,241.0
2023-03-26 16:00:00,0.5,100,193.0
2023-03-26 17:00:00,0.7,100,191.0
2023-03-26 18:00:00,0.7,100,118.0
2023-03-26 19:00:00,0.4,100,37.0
2023-03-26 20:00:00,0.2,100,5.0
2023-03-26 21:00:00,-0.1,95,0.0
2023-03-26 22:00:00,-0.3,99,0.0
2023-03-26 23:00:00,-0.9,70,0.0
2023-03-27 00:00:00,-1.7,2,0.0
2023-03-27 01:00:00,-2.4,0,0.0
2023-03-27 02:00:00,-3.0,0,0.0
2023-03-27 03:00:00,-3.7,0,0.0
2023-03-27 04:00:00,-4.3,0,0.0
2023-03-27 05:00:00,-3.4,0,0.0
2023-03-27 06:00:00,-3.4,0,0.0
2023-03-27 07:00:00,-4.5,1,0.0
2023-03-27 08:00:00,-3.1,0,39.0
2023-03-27 09:00:00,-0.9,12,158.0
2023-03-27 10:00:00,0.6,13,299.0
2023-03-27 11:00:00,1.5,47,424.0
2023-03-27 12:00:00,2.2,90,515.0
2023-03-27 13:00:00,2.5,68,570.0
2023-03-27 14:00:00,2.8,28,566.0
2023-03-27 15:00:00,2.2,41,355.0
2023-03-27 16:00:00,2.9,24,388.0
2023-03-27 17:00:00,2.1,43,352.0
2023-03-27 18:00:00,1.4,5,219.0
2023-03-27 19:00:00,0.6,31,94.0
2023-03-27 20:00:00,-1.0,14,11.0
2023-03-27 21:00:00,-1.8,43,0.0
2023-03-27 22:00:00,-1.8,65,0.0
2023-03-27 23:00:00,-2.3,1,0.0
2023-03-28 00:00:00,-3.1,0,0.0
2023-03-28 01:00:00,-3.6,0,0.0
2023-03-28 02:00:00,-3.0,1,0.0
2023-03-28 03:00:00,-3.1,0,0.0
2023-03-28 04:00:00,-3.3,0,0.0
2023-03-28 05:00:00,-3.7,0,0.0
2023-03-28 06:00:00,-4.1,0,0.0
2023-03-28 07:00:00,-4.5,0,0.0
2023-03-28 08:00:00,-4.0,0,47.0
2023-03-28 09:00:00,-2.6,0,178.0
2023-03-28 10:00:00,-0.8,0,321.0
2023-03-28 11:00:00,0.7,0,449.0
2023-03-28 12:00:00,1.4,1,545.0
2023-03-28 13:00:00,1.8,19,600.0
2023-03-28 14:00:00,2.1,6,609.0
2023-03-28 15:00:00,2.3,4,572.0
2023-03-28 16:00:00,2.4,59,496.0
2023-03-28 17:00:00,2.3,92,373.0
2023-03-28 18:00:00,1.9,0,244.0
2023-03-28 19:00:00,0.9,53,110.0
2023-03-28 20:00:00,0.1,100,12.0
2023-03-28 21:00:00,0.5,100,0.0
2023-03-28 22:00:00,1.2,100,0.0
2023-03-28 23:00:00,2.1,100,0.0
2023-03-29 00:00:00,2.5,100,0.0
2023-03-29 01:00:00,3.0,100,0.0
2023-03-29 02:00:00,2.9,100,0.0
2023-03-29 03:00:00,2.9,100,0.0
2023-03-29 04:00:00,2.7,100,0.0
2023-03-29 05:00:00,2.1,100,0.0
2023-03-29 06:00:00,1.7,100,0.0
2023-03-29 07:00:00,1.8,100,0.0
2023-03-29 08:00:00,2.2,100,5.0
2023-03-29 09:00:00,2.5,100,18.0
2023-03-29 10:00:00,2.7,100,34.0
2023-03-29 11:00:00,3.0,100,56.0
2023-03-29 12:00:00,3.5,100,104.0
2023-03-29 13:00:00,3.7,100,80.0
2023-03-29 14:00:00,3.1,100,172.0
2023-03-29 15:00:00,3.4,100,122.0
2023-03-29 16:00:00,4.4,98,196.0
2023-03-29 17:00:00,3.6,100,213.0
2023-03-29 18:00:00,1.5,87,154.0
2023-03-29 19:00:00,1.0,35,81.0
2023-03-29 20:00:00,-0.1,27,12.0
2023-03-29 21:00:00,-1.0,9,0.0
2023-03-29 22:00:00,-1.6,0,0.0
2023-03-29 23:00:00,-1.4,93,0.0
2023-03-30 00:00:00,-1.1,100,0.0
2023-03-30 01:00:00,-1.0,100,0.0
2023-03-30 02:00:00,-1.1,100,0.0
2023-03-30 03:00:00,-1.0,100,0.0
2023-03-30 04:00:00,-0.8,100,0.0
2023-03-30 05:00:00,-0.2,100,0.0
2023-03-30 06:00:00,0.0,100,0.0
2023-03-30 07:00:00,0.2,100,0.0
2023-03-30 08:00:00,0.6,100,7.0
2023-03-30 09:00:00,1.2,100,38.0
2023-03-30 10:00:00,1.6,100,55.0
2023-03-30 11:00:00,1.7,100,50.0
2023-03-30 12:00:00,1.9,100,63.0
2023-03-30 13:00:00,2.3,100,95.0
2023-03-30 14:00:00,2.6,100,111.0
2023-03-30 15:00:00,2.7,100,92.0
2023-03-30 16:00:00,2.7,100,68.0
2023-03-30 17:00:00,2.5,100,63.0
2023-03-30 18:00:00,2.1,100,30.0
2023-03-30 19:00:00,1.9,100,12.0
2023-03-30 20:00:00,1.9,100,2.0
2023-03-30 21:00:00,1.9,100,0.0
2023-03-30 22:00:00,1.9,100,0.0
2023-03-30 23:00:00,1.8,100,0.0
2023-03-31 00:00:00,1.8,100,0.0
2023-03-31 01:00:00,1.8,100,0.0
2023-03-31 02:00:00,2.3,100,0.0
2023-03-31 03:00:00,1.9,100,0.0
2023-03-31 04:00:00,1.9,100,0.0
2023-03-31 05:00:00,1.8,100,0.0
2023-03-31 06:00:00,1.8,100,0.0
2023-03-31 07:00:00,2.1,100,0.0
2023-03-31 08:00:00,2.0,100,7.0
2023-03-31 09:00:00,1.9,100,21.0
2023-03-31 10:00:00,1.6,100,39.0
2023-03-31 11:00:00,1.5,100,48.0
