datetime,temperature_2m,cloud_cover,shortwave_radiation
2021-01-01 00:00:00,2.9,100,0.0
2021-01-01 01:00:00,3.0,100,0.0
2021-01-01 02:00:00,2.4,85,0.0
2021-01-01 03:00:00,2.5,100,0.0
2021-01-01 04:00:00,2.3,97,0.0
2021-01-01 05:00:00,2.0,96,0.0
2021-01-01 06:00:00,1.8,99,0.0
2021-01-01 07:00:00,1.9,80,0.0
2021-01-01 08:00:00,1.7,71,0.0
2021-01-01 09:00:00,1.7,94,0.0
2021-01-01 10:00:00,1.6,83,0.0
2021-01-01 11:00:00,1.5,81,14.0
2021-01-01 12:00:00,1.7,82,47.0
2021-01-01 13:00:00,1.8,88,88.0
2021-01-01 14:00:00,2.2,68,86.0
2021-01-01 15:00:00,2.0,54,50.0
2021-01-01 16:00:00,1.5,70,26.0
2021-01-01 17:00:00,1.2,76,2.0
2021-01-01 18:00:00,1.2,100,0.0
2021-01-01 19:00:00,1.1,72,0.0
2021-01-01 20:00:00,0.6,66,0.0
2021-01-01 21:00:00,0.4,56,0.0
2021-01-01 22:00:00,0.2,57,0.0
2021-01-01 23:00:00,-0.6,76,0.0
2021-01-02 00:00:00,-0.8,77,0.0
2021-01-02 01:00:00,-0.8,75,0.0
2021-01-02 02:00:00,-0.1,85,0.0
2021-01-02 03:00:00,0.0,100,0.0
2021-01-02 04:00:00,0.2,98,0.0
2021-01-02 05:00:00,0.9,94,0.0
2021-01-02 06:00:00,0.7,98,0.0
2021-01-02 07:00:00,0.7,95,0.0
2021-01-02 08:00:00,0.7,93,0.0
2021-01-02 09:00:00,0.7,92,0.0
2021-01-02 10:00:00,0.6,97,0.0
2021-01-02 11:00:00,0.9,100,12.0
2021-01-02 12:00:00,1.3,97,39.0
2021-01-02 13:00:00,1.6,99,50.0
2021-01-02 14:00:00,1.8,72,58.0
2021-01-02 15:00:00,1.9,90,53.0
2021-01-02 16:00:00,1.3,47,37.0
2021-01-02 17:00:00,0.6,46,4.0
2021-01-02 18:00:00,0.4,56,0.0
2021-01-02 19:00:00,0.6,85,0.0
2021-01-02 20:00:00,0.6,98,0.0
2021-01-02 21:00:00,0.5,98,0.0
2021-01-02 22:00:00,0.6,96,0.0
2021-01-02 23:00:00,0.5,80,0.0
2021-01-03 00:00:00,0.6,98,0.0
2021-01-03 01:00:00,0.7,99,0.0
2021-01-03 02:00:00,0.5,100,0.0
2021-01-03 03:00:00,0.9,99,0.0
2021-01-03 04:00:00,1.2,100,0.0
2021-01-03 05:00:00,1.4,98,0.0
2021-01-03 06:00:00,1.4,94,0.0
2021-01-03 07:00:00,0.9,83,0.0
2021-01-03 08:00:00,0.6,91,0.0
2021-01-03 09:00:00,0.6,81,0.0
2021-01-03 10:00:00,0.5,86,0.0
2021-01-03 11:00:00,1.0,79,11.0
2021-01-03 12:00:00,1.1,45,47.0
2021-01-03 13:00:00,1.1,48,89.0
2021-01-03 14:00:00,1.3,66,108.0
2021-01-03 15:00:00,1.1,64,90.0
2021-01-03 16:00:00,0.7,81,44.0
2021-01-03 17:00:00,0.2,87,5.0
2021-01-03 18:00:00,-0.1,93,0.0
2021-01-03 19:00:00,-0.1,98,0.0
2021-01-03 20:00:00,-0.1,85,0.0
2021-01-03 21:00:00,-0.2,88,0.0
2021-01-03 22:00:00,-0.3,87,0.0
2021-01-03 23:00:00,-0.7,94,0.0
2021-01-04 00:00:00,-0.9,100,0.0
2021-01-04 01:00:00,-0.9,100,0.0
2021-01-04 02:00:00,-0.8,99,0.0
2021-01-04 03:00:00,-0.8,100,0.0
2021-01-04 04:00:00,-0.7,100,0.0
2021-01-04 05:00:00,-0.8,100,0.0
2021-01-04 06:00:00,-0.9,100,0.0
2021-01-04 07:00:00,-0.5,99,0.0
2021-01-04 08:00:00,-0.6,94,0.0
2021-01-04 09:00:00,-0.7,85,0.0
2021-01-04 10:00:00,-0.6,86,0.0
2021-01-04 11:00:00,-0.5,96,14.0
2021-01-04 12:00:00,-0.2,89,33.0
2021-01-04 13:00:00,0.2,92,48.0
2021-01-04 14:00:00,0.2,86,56.0
2021-01-04 15:00:00,0.3,90,49.0
2021-01-04 16:00:00,0.1,99,36.0
2021-01-04 17:00:00,-0.1,85,4.0
2021-01-04 18:00:00,-0.2,100,0.0
2021-01-04 19:00:00,0.1,100,0.0
2021-01-04 20:00:00,-0.1,100,0.0
2021-01-04 21:00:00,-0.4,100,0.0
2021-01-04 22:00:00,-0.5,100,0.0
2021-01-04 23:00:00,-0.2,99,0.0
2021-01-05 00:00:00,0.2,85,0.0
2021-01-05 01:00:00,-0.1,89,0.0
2021-01-05 02:00:00,0.1,96,0.0
2021-01-05 03:00:00,0.3,98,0.0
2021-01-05 04:00:00,0.2,99,0.0
2021-01-05 05:00:00,0.1,96,0.0
2021-01-05 06:00:00,-0.0,98,0.0
2021-01-05 07:00:00,-0.1,100,0.0
2021-01-05 08:00:00,-0.2,100,0.0
2021-01-05 09:00:00,-0.3,100,0.0
2021-01-05 10:00:00,-0.3,100,0.0
2021-01-05 11:00:00,-0.1,100,16.0
2021-01-05 12:00:00,0.5,99,55.0
2021-01-05 13:00:00,0.8,100,71.0
2021-01-05 14:00:00,0.9,100,82.0
2021-01-05 15:00:00,0.9,100,49.0
2021-01-05 16:00:00,0.7,100,29.0
2021-01-05 17:00:00,0.4,100,4.0
2021-01-05 18:00:00,0.3,100,0.0
2021-01-05 19:00:00,0.1,99,0.0
2021-01-05 20:00:00,-0.0,100,0.0
2021-01-05 21:00:00,-0.2,91,0.0
2021-01-05 22:00:00,-0.5,97,0.0
2021-01-05 23:00:00,-0.6,90,0.0
2021-01-06 00:00:00,-0.8,94,0.0
2021-01-06 01:00:00,-0.7,91,0.0
2021-01-06 02:00:00,-0.9,96,0.0
2021-01-06 03:00:00,-1.1,100,0.0
2021-01-06 04:00:00,-1.2,100,0.0
2021-01-06 05:00:00,-1.1,100,0.0
2021-01-06 06:00:00,-1.3,100,0.0
2021-01-06 07:00:00,-1.8,100,0.0
