datetime,temperature_2m,cloud_cover,shortwave_radiation
2021-08-29 00:00:00,14.6,62,0.0
2021-08-29 00:15:00,14.5,67,0.0
2021-08-29 00:30:00,14.5,68,0.0
2021-08-29 00:45:00,14.5,67,0.0
2021-08-29 01:00:00,14.4,64,0.0
2021-08-29 01:15:00,14.3,59,0.0
2021-08-29 01:30:00,14.2,51,0.0
2021-08-29 01:45:00,14.0,43,0.0
2021-08-29 02:00:00,13.9,39,0.0
2021-08-29 02:15:00,13.8,40,0.0
2021-08-29 02:30:00,13.8,44,0.0
2021-08-29 02:45:00,13.7,49,0.0
2021-08-29 03:00:00,13.6,51,0.0
2021-08-29 03:15:00,13.6,48,0.0
2021-08-29 03:30:00,13.5,43,0.0
2021-08-29 03:45:00,13.5,38,0.0
2021-08-29 04:00:00,13.5,36,0.0
2021-08-29 04:15:00,13.4,37,0.0
2021-08-29 04:30:00,13.4,40,0.0
2021-08-29 04:45:00,13.4,44,0.0
2021-08-29 05:00:00,13.3,49,0.0
2021-08-29 05:15:00,13.3,54,0.0
2021-08-29 05:30:00,13.3,61,0.0
2021-08-29 05:45:00,13.2,68,0.0
2021-08-29 06:00:00,13.3,74,0.0
2021-08-29 06:15:00,13.4,81,0.0
2021-08-29 06:30:00,13.5,87,6.0
2021-08-29 06:45:00,13.7,93,18.0
2021-08-29 07:00:00,13.9,97,30.0
2021-08-29 07:15:00,14.1,98,43.0
2021-08-29 07:30:00,14.3,97,57.0
2021-08-29 07:45:00,14.6,96,73.0
2021-08-29 08:00:00,14.8,94,90.0
2021-08-29 08:15:00,14.9,92,108.0
2021-08-29 08:30:00,15.1,89,129.0
2021-08-29 08:45:00,15.2,87,155.0
2021-08-29 09:00:00,15.3,86,191.0
2021-08-29 09:15:00,15.5,87,230.0
2021-08-29 09:30:00,15.6,89,267.0
2021-08-29 09:45:00,15.7,91,291.0
2021-08-29 10:00:00,15.9,93,298.0
2021-08-29 10:15:00,16.2,94,297.0
2021-08-29 10:30:00,16.4,95,298.0
2021-08-29 10:45:00,16.7,96,314.0
2021-08-29 11:00:00,17.1,97,346.0
2021-08-29 11:15:00,17.5,97,384.0
2021-08-29 11:30:00,18.1,97,422.0
2021-08-29 11:45:00,18.6,97,451.0
2021-08-29 12:00:00,19.0,97,473.0
2021-08-29 12:15:00,19.4,97,491.0
2021-08-29 12:30:00,19.7,96,509.0
2021-08-29 12:45:00,19.9,95,528.0
2021-08-29 13:00:00,20.1,95,550.0
2021-08-29 13:15:00,20.3,95,571.0
2021-08-29 13:30:00,20.4,94,585.0
2021-08-29 13:45:00,20.5,94,589.0
2021-08-29 14:00:00,20.6,94,584.0
2021-08-29 14:15:00,20.8,94,573.0
2021-08-29 14:30:00,20.9,93,555.0
2021-08-29 14:45:00,21.0,93,531.0
2021-08-29 15:00:00,21.1,93,497.0
2021-08-29 15:15:00,21.0,93,459.0
2021-08-29 15:30:00,20.9,94,425.0
2021-08-29 15:45:00,20.8,94,401.0
2021-08-29 16:00:00,20.6,94,386.0
2021-08-29 16:15:00,20.5,94,373.0
2021-08-29 16:30:00,20.4,93,358.0
2021-08-29 16:45:00,20.3,92,338.0
2021-08-29 17:00:00,20.1,91,313.0
2021-08-29 17:15:00,20.0,91,288.0
2021-08-29 17:30:00,19.8,92,262.0
2021-08-29 17:45:00,19.6,92,237.0
2021-08-29 18:00:00,19.4,89,214.0
2021-08-29 18:15:00,19.2,82,191.0
2021-08-29 18:30:00,18.9,72,166.0
2021-08-29 18:45:00,18.7,63,138.0
2021-08-29 19:00:00,18.4,58,110.0
2021-08-29 19:15:00,18.1,61,83.0
2021-08-29 19:30:00,17.7,69,59.0
2021-08-29 19:45:00,17.3,78,40.0
2021-08-29 20:00:00,16.9,81,22.0
2021-08-29 20:15:00,16.6,77,5.0
2021-08-29 20:30:00,16.3,70,0.0
2021-08-29 20:45:00,16.1,61,0.0
2021-08-29 21:00:00,15.9,53,0.0
2021-08-29 21:15:00,15.8,47,0.0
2021-08-29 21:30:00,15.8,41,0.0
2021-08-29 21:45:00,15.8,35,0.0
2021-08-29 22:00:00,15.8,30,0.0
2021-08-29 22:15:00,15.6,24,0.0
2021-08-29 22:30:00,15.3,18,0.0
2021-08-29 22:45:00,15.1,13,0.0
2021-08-29 23:00:00,14.8,9,0.0
2021-08-29 23:15:00,14.6,8,0.0
2021-08-29 23:30:00,14.3,8,0.0
2021-08-29 23:45:00,14.1,9,0.0
2021-08-30 00:00:00,13.9,9,0.0
2021-08-30 00:15:00,13.8,9,0.0
2021-08-30 00:30:00,13.7,8,0.0
2021-08-30 00:45:00,13.6,8,0.0
2021-08-30 01:00:00,13.4,8,0.0
2021-08-30 01:15:00,13.3,8,0.0
2021-08-30 01:30:00,13.1,9,0.0
2021-08-30 01:45:00,12.9,9,0.0
2021-08-30 02:00:00,12.8,9,0.0
2021-08-30 02:15:00,12.6,7,0.0
2021-08-30 02:30:00,12.5,5,0.0
2021-08-30 02:45:00,12.3,3,0.0
2021-08-30 03:00:00,12.2,1,0.0
2021-08-30 03:15:00,12.1,0,0.0
2021-08-30 03:30:00,12.0,1,0.0
2021-08-30 03:45:00,11.9,1,0.0
2021-08-30 04:00:00,11.8,1,0.0
2021-08-30 04:15:00,11.7,1,0.0
2021-08-30 04:30:00,11.7,1,0.0
2021-08-30 04:45:00,11.6,0,0.0
2021-08-30 05:00:00,11.5,0,0.0
2021-08-30 05:15:00,11.4,0,0.0
2021-08-30 05:30:00,11.4,0,0.0
2021-08-30 05:45:00,11.3,0,0.0
2021-08-30 06:00:00,11.3,0,0.0
2021-08-30 06:15:00,11.3,0,0.0
2021-08-30 06:30:00,11.3,1,8.0
2021-08-30 06:45:00,11.4,1,26.0
2021-08-30 07:00:00,11.5,1,48.0
2021-08-30 07:15:00,11.8,1,73.0
2021-08-30 07:30:00,12.2,1,103.0
2021-08-30 07:45:00,12.6,1,134.0
2021-08-30 08:00:00,13.0,1,167.0
2021-08-30 08:15:00,13.4,1,201.0
2021-08-30 08:30:00,13.9,1,236.0
2021-08-30 08:45:00,14.4,0,271.0
2021-08-30 09:00:00,14.8,0,304.0
2021-08-30 09:15:00,15.3,0,337.0
2021-08-30 09:30:00,15.7,0,369.0
2021-08-30 09:45:00,16.1,0,400.0
2021-08-30 10:00:00,16.6,0,431.0
2021-08-30 10:15:00,17.0,0,460.0
2021-08-30 10:30:00,17.5,0,487.0
2021-08-30 10:45:00,17.9,0,513.0
2021-08-30 11:00:00,18.3,0,536.0
2021-08-30 11:15:00,18.6,0,557.0
2021-08-30 11:30:00,19.0,0,577.0
2021-08-30 11:45:00,19.3,0,593.0
2021-08-30 12:00:00,19.5,0,608.0
2021-08-30 12:15:00,19.8,1,620.0
2021-08-30 12:30:00,20.0,3,630.0
2021-08-30 12:45:00,20.2,6,637.0
