forecast_valid_time,forecast_issue_time,lead_hours,temperature_2m,cloud_cover,shortwave_radiation
2023-12-27 00:00:00,2023-12-26 19:00:00,5,276.84142578125,4.9,0.0
2023-12-27 01:00:00,2023-12-26 19:00:00,6,277.5138671875,1.3,0.0
2023-12-27 02:00:00,2023-12-26 19:00:00,7,277.5999755859375,1.1,0.0
2023-12-27 03:00:00,2023-12-26 19:00:00,8,277.40366210937503,0.1,0.0
2023-12-27 04:00:00,2023-12-26 19:00:00,9,277.11105957031253,85.7,0.0
2023-12-27 05:00:00,2023-12-26 19:00:00,10,276.82211914062503,51.1,0.0
2023-12-27 06:00:00,2023-12-26 19:00:00,11,276.596337890625,22.900000000000002,0.0
2023-12-27 07:00:00,2023-12-26 19:00:00,12,275.1400634765625,5.2,0.0
2023-12-27 08:00:00,2023-12-26 19:00:00,13,274.612548828125,79.4,0.0
2023-12-27 09:00:00,2023-12-26 19:00:00,14,274.5197998046875,76.2,0.0
2023-12-27 10:00:00,2023-12-26 19:00:00,15,274.6025390625,95.9,5.24
2023-12-27 11:00:00,2023-12-26 19:00:00,16,274.64873046875,40.900000000000006,17.8
2023-12-27 12:00:00,2023-12-26 19:00:00,17,275.1163330078125,7.0,37.12
2023-12-27 13:00:00,2023-12-26 19:00:00,18,275.33974609375,99.0,51.660000000000004
2023-12-27 14:00:00,2023-12-26 19:00:00,19,275.23974609375,69.3,74.28
2023-12-27 15:00:00,2023-12-26 19:00:00,20,274.7,91.9,55.84
2023-12-27 16:00:00,2023-12-26 19:00:00,21,274.64130859375,100.0,38.0
2023-12-27 17:00:00,2023-12-26 19:00:00,22,274.57065429687503,100.0,28.5
2023-12-27 18:00:00,2023-12-26 19:00:00,23,274.67807617187503,100.0,22.8
2023-12-27 19:00:00,2023-12-26 19:00:00,24,274.521923828125,100.0,19.0
2023-12-27 20:00:00,2023-12-26 19:00:00,25,274.5,100.0,0.0
2023-12-27 21:00:00,2023-12-26 19:00:00,26,274.665771484375,100.0,0.0
2023-12-27 22:00:00,2023-12-26 19:00:00,27,274.821923828125,100.0,0.0
2023-12-27 23:00:00,2023-12-26 19:00:00,28,274.9027734375,100.0,0.0
2023-12-28 00:00:00,2023-12-26 19:00:00,29,274.91076171875,100.0,0.0
2023-12-28 01:00:00,2023-12-26 19:00:00,30,273.19341796875,100.0,0.0
2023-12-28 02:00:00,2023-12-26 19:00:00,31,272.77572265625,100.0,0.0
2023-12-28 03:00:00,2023-12-26 19:00:00,32,273.58298339843753,100.0,0.0
2023-12-28 04:00:00,2023-12-26 19:00:00,33,274.97446289062503,100.0,0.0
2023-12-28 05:00:00,2023-12-26 19:00:00,34,276.5,100.0,0.0
2023-12-28 06:00:00,2023-12-26 19:00:00,35,278.9187255859375,98.80000000000001,0.0
2023-12-28 07:00:00,2023-12-26 19:00:00,36,279.3195068359375,69.3,0.0
2023-12-28 08:00:00,2023-12-26 19:00:00,37,279.509765625,100.0,0.0
2023-12-28 09:00:00,2023-12-26 19:00:00,38,279.050537109375,100.0,0.0
2023-12-28 10:00:00,2023-12-26 19:00:00,39,279.209765625,100.0,0.84
2023-12-28 11:00:00,2023-12-26 19:00:00,40,280.19443359375003,88.30000000000001,1.8800000000000001
2023-12-28 12:00:00,2023-12-26 19:00:00,41,279.97671875000003,100.0,8.02
2023-12-28 13:00:00,2023-12-26 19:00:00,42,280.28138671875,69.4,8.48
2023-12-28 14:00:00,2023-12-26 19:00:00,43,280.139765625,68.3,64.36
2023-12-28 15:00:00,2023-12-26 19:00:00,44,279.841328125,100.0,46.84
2023-12-28 16:00:00,2023-12-26 19:00:00,45,279.78826171875,100.0,31.68
2023-12-28 17:00:00,2023-12-26 19:00:00,46,279.70456542968753,100.0,23.76
2023-12-28 18:00:00,2023-12-26 19:00:00,47,279.40488281250003,100.0,19.02
2023-12-28 19:00:00,2023-12-26 19:00:00,48,279.39873046875,100.0,15.84
2023-12-28 20:00:00,2023-12-26 19:00:00,49,278.924072265625,100.0,0.0
2023-12-28 21:00:00,2023-12-26 19:00:00,50,279.1,100.0,0.0
2023-12-28 22:00:00,2023-12-26 19:00:00,51,279.17845703125,100.0,0.0
2023-12-28 23:00:00,2023-12-26 19:00:00,52,279.2113671875,94.80000000000001,0.0
2023-12-29 00:00:00,2023-12-26 19:00:00,53,279.3251953125,99.80000000000001,0.0
2023-12-29 01:00:00,2023-12-26 19:00:00,54,279.634453125,100.0,0.0
2023-12-29 02:00:00,2023-12-26 19:00:00,55,279.43041015625,99.80000000000001,0.0
2023-12-29 03:00:00,2023-12-26 19:00:00,56,279.20623046875,77.80000000000001,0.0
2023-12-29 04:00:00,2023-12-26 19:00:00,57,279.07248046875003,100.0,0.0
2023-12-29 05:00:00,2023-12-26 19:00:00,58,278.833984375,100.0,0.0
2023-12-29 06:00:00,2023-12-26 19:00:00,59,278.901904296875,99.9,0.0
2023-12-29 07:00:00,2023-12-26 19:00:00,60,278.5182373046875,100.0,0.0
2023-12-29 08:00:00,2023-12-26 19:00:00,61,279.0472412109375,100.0,0.0
2023-12-29 09:00:00,2023-12-26 19:00:00,62,279.0157470703125,71.2,0.0
2023-12-29 10:00:00,2023-12-26 19:00:00,63,278.743115234375,99.60000000000001,4.22
2023-12-29 11:00:00,2023-12-26 19:00:00,64,278.4693603515625,100.0,7.08
2023-12-29 12:00:00,2023-12-26 19:00:00,65,279.008203125,100.0,13.64
2023-12-29 13:00:00,2023-12-26 19:00:00,66,278.43063964843753,100.0,15.8
2023-12-29 14:00:00,2023-12-26 19:00:00,67,278.191845703125,100.0,6.46
2023-12-29 15:00:00,2023-12-26 19:00:00,68,278.58421875,100.0,7.24
2023-12-29 16:00:00,2023-12-26 19:00:00,69,278.6700439453125,100.0,5.0200000000000005
2023-12-29 17:00:00,2023-12-26 19:00:00,70,279.09716796875,100.0,3.7600000000000002
2023-12-29 18:00:00,2023-12-26 19:00:00,71,279.5792724609375,99.2,3.0
2023-12-29 19:00:00,2023-12-26 19:00:00,72,279.5959716796875,95.9,2.5
2023-12-29 20:00:00,2023-12-26 19:00:00,73,279.12626953125,100.0,0.0
2023-12-29 21:00:00,2023-12-26 19:00:00,74,278.7832275390625,100.0,0.0
2023-12-29 22:00:00,2023-12-26 19:00:00,75,278.691943359375,100.0,0.0
2023-12-29 23:00:00,2023-12-26 19:00:00,76,278.320546875,100.0,0.0
