time,temperature_2m,temperature_2m_previous_day1,temperature_2m_previous_day2,temperature_2m_previous_day3,temperature_2m_previous_day4,temperature_2m_previous_day5,cloud_cover,cloud_cover_previous_day1,cloud_cover_previous_day2,cloud_cover_previous_day3,cloud_cover_previous_day4,cloud_cover_previous_day5,shortwave_radiation,shortwave_radiation_previous_day1,shortwave_radiation_previous_day2,shortwave_radiation_previous_day3,shortwave_radiation_previous_day4,shortwave_radiation_previous_day5
2024-01-17T00:00,-0.4,,,,,,100,,,,,,0.0,,,,,
2024-01-17T01:00,-0.0,,,,,,99,,,,,,0.0,,,,,
2024-01-17T02:00,0.4,,,,,,99,,,,,,0.0,,,,,
2024-01-17T03:00,0.3,,,,,,100,,,,,,0.0,,,,,
2024-01-17T04:00,0.3,,,,,,100,,,,,,0.0,,,,,
2024-01-17T05:00,0.8,,,,,,100,,,,,,0.0,,,,,
2024-01-17T06:00,1.0,,,,,,100,,,,,,0.0,,,,,
2024-01-17T07:00,0.2,,,,,,100,,,,,,0.0,,,,,
2024-01-17T08:00,-0.0,,,,,,100,,,,,,0.0,,,,,
2024-01-17T09:00,0.3,,,,,,100,,,,,,0.0,,,,,
2024-01-17T10:00,0.9,,,,,,82,,,,,,0.0,,,,,
2024-01-17T11:00,0.4,,,,,,83,,,,,,35.0,,,,,
2024-01-17T12:00,0.8,,,,,,57,,,,,,40.0,,,,,
2024-01-17T13:00,0.9,,,,,,27,,,,,,160.0,,,,,
2024-01-17T14:00,1.2,,,,,,18,,,,,,189.0,,,,,
2024-01-17T15:00,0.2,,,,,,91,,,,,,118.0,,,,,
2024-01-17T16:00,-0.0,,,,,,100,,,,,,21.0,,,,,
2024-01-17T17:00,-0.2,,,,,,11,,,,,,12.0,,,,,
2024-01-17T18:00,-0.3,,,,,,50,,,,,,0.0,,,,,
2024-01-17T19:00,-0.3,,,,,,81,,,,,,0.0,,,,,
2024-01-17T20:00,-0.3,,,,,,91,,,,,,0.0,,,,,
2024-01-17T21:00,0.1,,,,,,52,,,,,,0.0,,,,,
2024-01-17T22:00,-0.1,,,,,,26,,,,,,0.0,,,,,
2024-01-17T23:00,-0.6,,,,,,22,,,,,,0.0,,,,,
