time,temperature_2m,temperature_2m_previous_day1,temperature_2m_previous_day2,temperature_2m_previous_day3,temperature_2m_previous_day4,temperature_2m_previous_day5,cloud_cover,cloud_cover_previous_day1,cloud_cover_previous_day2,cloud_cover_previous_day3,cloud_cover_previous_day4,cloud_cover_previous_day5,shortwave_radiation,shortwave_radiation_previous_day1,shortwave_radiation_previous_day2,shortwave_radiation_previous_day3,shortwave_radiation_previous_day4,shortwave_radiation_previous_day5
2024-01-01T00:00,2.0,,,,,,100,,,,,,0.0,,,,,
2024-01-01T01:00,1.8,,,,,,100,,,,,,0.0,,,,,
2024-01-01T02:00,1.6,,,,,,100,,,,,,0.0,,,,,
2024-01-01T03:00,1.6,,,,,,100,,,,,,0.0,,,,,
2024-01-01T04:00,1.4,,,,,,100,,,,,,0.0,,,,,
2024-01-01T05:00,1.6,,,,,,100,,,,,,0.0,,,,,
2024-01-01T06:00,1.6,,,,,,100,,,,,,0.0,,,,,
2024-01-01T07:00,1.5,,,,,,100,,,,,,0.0,,,,,
2024-01-01T08:00,1.2,,,,,,100,,,,,,0.0,,,,,
2024-01-01T09:00,1.5,,,,,,100,,,,,,0.0,,,,,
2024-01-01T10:00,1.8,,,,,,100,,,,,,0.0,,,,,
2024-01-01T11:00,2.3,,,,,,100,,,,,,2.0,,,,,
2024-01-01T12:00,2.3,,,,,,100,,,,,,7.0,,,,,
2024-01-01T13:00,2.4,,,,,,100,,,,,,12.0,,,,,
2024-01-01T14:00,2.2,,,,,,100,,,,,,8.0,,,,,
2024-01-01T15:00,2.2,,,,,,100,,,,,,8.0,,,,,
2024-01-01T16:00,1.9,,,,,,100,,,,,,10.0,,,,,
2024-01-01T17:00,1.3,,,,,,100,,,,,,1.0,,,,,
2024-01-01T18:00,1.0,,,,,,100,,,,,,0.0,,,,,
2024-01-01T19:00,0.7,,,,,,100,,,,,,0.0,,,,,
2024-01-01T20:00,0.3,,,,,,100,,,,,,0.0,,,,,
2024-01-01T21:00,-0.0,,,,,,100,,,,,,0.0,,,,,
2024-01-01T22:00,-0.4,,,,,,100,,,,,,0.0,,,,,
2024-01-01T23:00,-0.5,,,,,,100,,,,,,0.0,,,,,
2024-01-02T00:00,-0.5,,,,,,100,,,,,,0.0,,,,,
2024-01-02T01:00,-0.8,,,,,,100,,,,,,0.0,,,,,
2024-01-02T02:00,-0.7,,,,,,100,,,,,,0.0,,,,,
2024-01-02T03:00,-0.7,,,,,,100,,,,,,0.0,,,,,
2024-01-02T04:00,-0.7,,,,,,100,,,,,,0.0,,,,,
2024-01-02T05:00,-0.7,,,,,,100,,,,,,0.0,,,,,
2024-01-02T06:00,-0.8,,,,,,100,,,,,,0.0,,,,,
2024-01-02T07:00,-0.9,,,,,,100,,,,,,0.0,,,,,
2024-01-02T08:00,-1.0,,,,,,100,,,,,,0.0,,,,,
2024-01-02T09:00,-1.2,,,,,,100,,,,,,0.0,,,,,
2024-01-02T10:00,-1.3,,,,,,100,,,,,,0.0,,,,,
2024-01-02T11:00,-1.5,,,,,,100,,,,,,6.0,,,,,
2024-01-02T12:00,-1.6,,,,,,100,,,,,,18.0,,,,,
2024-01-02T13:00,-1.8,,,,,,100,,,,,,35.0,,,,,
2024-01-02T14:00,-1.9,,,,,,100,,,,,,31.0,,,,,
2024-01-02T15:00,-2.0,,,,,,100,,,,,,10.0,,,,,
2024-01-02T16:00,-2.2,,,,,,100,,,,,,7.0,,,,,
2024-01-02T17:00,-2.5,,,,,,100,,,,,,1.0,,,,,
2024-01-02T18:00,-2.4,,,,,,100,,,,,,0.0,,,,,
2024-01-02T19:00,-2.4,,,,,,100,,,,,,0.0,,,,,
2024-01-02T20:00,-2.5,,,,,,100,,,,,,0.0,,,,,
2024-01-02T21:00,-2.7,,,,,,100,,,,,,0.0,,,,,
2024-01-02T22:00,-2.8,,,,,,100,,,,,,0.0,,,,,
2024-01-02T23:00,-2.9,,,,,,98,,,,,,0.0,,,,,
2024-01-03T00:00,-3.0,,,,,,99,,,,,,0.0,,,,,
2024-01-03T01:00,-3.1,,,,,,99,,,,,,0.0,,,,,
2024-01-03T02:00,-3.1,,,,,,100,,,,,,0.0,,,,,
2024-01-03T03:00,-3.0,,,,,,100,,,,,,0.0,,,,,
2024-01-03T04:00,-3.0,,,,,,100,,,,,,0.0,,,,,
2024-01-03T05:00,-3.0,,,,,,99,,,,,,0.0,,,,,
2024-01-03T06:00,-3.1,,,,,,100,,,,,,0.0,,,,,
2024-01-03T07:00,-3.1,,,,,,100,,,,,,0.0,,,,,
2024-01-03T08:00,-3.2,,,,,,100,,,,,,0.0,,,,,
2024-01-03T09:00,-3.2,,,,,,100,,,,,,0.0,,,,,
2024-01-03T10:00,-3.2,,,,,,100,,,,,,0.0,,,,,
2024-01-03T11:00,-3.0,,,,,,100,,,,,,5.0,,,,,
2024-01-03T12:00,-2.5,,,,,,100,,,,,,28.0,,,,,
2024-01-03T13:00,-2.2,,,,,,100,,,,,,37.0,,,,,
2024-01-03T14:00,-2.3,,,,,,100,,,,,,26.0,,,,,
2024-01-03T15:00,-2.2,,,,,,100,,,,,,21.0,,,,,
2024-01-03T16:00,-2.6,,,,,,100,,,,,,13.0,,,,,
2024-01-03T17:00,-2.8,,,,,,100,,,,,,2.0,,,,,
2024-01-03T18:00,-3.0,,,,,,100,,,,,,0.0,,,,,
2024-01-03T19:00,-3.3,,,,,,100,,,,,,0.0,,,,,
2024-01-03T20:00,-4.0,,,,,,100,,,,,,0.0,,,,,
2024-01-03T21:00,-4.4,,,,,,100,,,,,,0.0,,,,,
2024-01-03T22:00,-4.6,,,,,,99,,,,,,0.0,,,,,
2024-01-03T23:00,-4.9,,,,,,97,,,,,,0.0,,,,,
2024-01-04T00:00,-5.1,,,,,,96,,,,,,0.0,,,,,
2024-01-04T01:00,-5.2,,,,,,91,,,,,,0.0,,,,,
2024-01-04T02:00,-5.0,,,,,,96,,,,,,0.0,,,,,
2024-01-04T03:00,-4.7,,,,,,86,,,,,,0.0,,,,,
2024-01-04T04:00,-4.7,,,,,,73,,,,,,0.0,,,,,
2024-01-04T05:00,-5.1,,,,,,53,,,,,,0.0,,,,,
2024-01-04T06:00,-5.4,,,,,,72,,,,,,0.0,,,,,
2024-01-04T07:00,-5.5,,,,,,73,,,,,,0.0,,,,,
2024-01-04T08:00,-6.4,,,,,,88,,,,,,0.0,,,,,
2024-01-04T09:00,-7.0,,,,,,92,,,,,,0.0,,,,,
2024-01-04T10:00,-7.2,,,,,,96,,,,,,0.0,,,,,
2024-01-04T11:00,-7.5,,,,,,93,,,,,,13.0,,,,,
2024-01-04T12:00,-7.2,,,,,,52,,,,,,56.0,,,,,
2024-01-04T13:00,-7.0,,,,,,29,,,,,,114.0,,,,,
2024-01-04T14:00,-6.9,,,,,,20,,,,,,134.0,,,,,
2024-01-04T15:00,-6.7,,,,,,8,,,,,,119.0,,,,,
2024-01-04T16:00,-7.1,,,,,,3,,,,,,68.0,,,,,
2024-01-04T17:00,-7.6,,,,,,17,,,,,,9.0,,,,,
2024-01-04T18:00,-8.2,,,,,,21,,,,,,0.0,,,,,
2024-01-04T19:00,-8.6,,,,,,21,,,,,,0.0,,,,,
2024-01-04T20:00,-9.1,,,,,,20,,,,,,0.0,,,,,
2024-01-04T21:00,-9.5,,,,,,35,,,,,,0.0,,,,,
2024-01-04T22:00,-9.8,,,,,,40,,,,,,0.0,,,,,
2024-01-04T23:00,-10.4,,,,,,0,,,,,,0.0,,,,,
2024-01-05T00:00,-10.9,,,,,,2,,,,,,0.0,,,,,
2024-01-05T01:00,-11.4,,,,,,2,,,,,,0.0,,,,,
